order_id,final_price
20329,3959212
16747,1678321
26392,6354065
24038,3839983
17153,4908248
22212,6123116
23760,4000047
19093,4568391
20539,4400184
15836,2308321
25064,4813474
26278,3997525
25575,3145634
20488,4407721
21034,4685769
20265,3251460
27117,3968613
13704,6077675
23436,3482984
24424,3934219
23374,3815002
23286,4161397
23226,4293210
20447,3033595
20968,4384943
27436,4053230
27309,4731387
19426,4928685
24982,5579313
22098,3691459
29352,6864937
27896,3979206
21901,3281466
21212,3167819
20195,4931201
26361,5077290
28042,4352589
26774,4416055
23312,4046369
23788,3061525
23631,3204576
21981,4273306
24285,4150214
26748,4152776
25454,4744877
26288,4806191
24930,4407307
28249,4828173
20557,4395824
17367,4278301
28207,4877435
26973,4575139
25732,4156444
13654,5893961
22581,3473678
23396,4360456
21159,3228948
20696,3492150
25285,4312167
27811,5859079
27148,3466970
21582,3703657
24920,4017712
27996,4750777
27993,4856221
17069,4879884
23135,3691672
24042,4256738
23344,4971059
28660,4537439
22837,3273986
23242,3519181
26276,3622875
21868,4453026
25184,5156610
14476,10725844
21125,3449580
22713,3033688
23159,3416129
25721,3918105
26040,4182620
20410,2643215
26792,4608230
4447,6055998
24961,4867897
14965,3975671
20210,4955548
24975,3987840
22319,3602233
27471,4734422
21103,4530192
24286,3626891
22136,3331939
27609,5397319
28242,4767229
20503,4398729
27085,4275974
20236,3732818
27177,5096899
22715,4259021
27103,3772944
23858,3238166
23385,4440542
21521,3688699
27386,4299928
23333,4121826
14795,6526028
2680,10937856
27964,5052116
21225,3141230
27271,4711392
28567,3880170
27522,3886276
28608,4125434
25027,4979049
20730,3622676
22706,3450038
27311,4805839
26844,3984606
23911,4266296
28595,3040612
26390,5518261
23856,3308360
22925,3496810
556,4117377
25347,4185852
17517,9952085
24574,4686981
27697,5156398
21889,3172211
26591,3350098
24869,4646783
3145,6863241
28488,3594458
22657,3482618
21098,4309682
18655,8776189
21190,3602758
24633,4547106
24492,3304521
26255,3104183
25552,5253632
21798,4435285
26031,4224986
26722,5958626
23633,3696535
23338,5051142
21509,3484064
21214,3528680
27326,10251622
26273,4290451
21242,4752412
26104,5782010
21980,4148721
22859,3464549
26084,3844390
19995,4671611
16849,9607984
22996,3284785
24526,4451111
28482,3954921
27119,3710738
25553,5517494
21619,4458708
28239,3750004
3877,8966611
28659,4454174
20649,3457092
27090,4831866
26126,4608617
17589,3794327
25891,4368874
21560,2108545
28217,4877903
21765,3661989
21270,4449986
20272,3307689
19421,4988291
29561,6366518
21357,3492826
27157,2597679
28460,11280698
18778,11149267
21819,3701419
21576,3144373
22264,4115963
23694,3759015
21020,9330619
20330,4224228
25273,13684621
27917,4795605
20262,3400038
29444,3230073
28318,4184342
21325,3676170
23536,5224472
25038,4397316
27015,5040704
28226,4855112
27397,4713788
23493,3953432
24011,4374295
27985,5118080
20607,4220880
26275,3766067
25130,4883478
20574,4476460
26067,4760467
21873,4455971
21786,4328200
26750,3628376
21498,3234826
27385,4351191
18770,8143214
20305,4673213
21885,4268993
12400,4284907
2992,4203980
12284,124202242
23824,4390267
23678,4904635
21134,3335793
21388,3705309
23044,3511068
25142,5163607
25440,4680825
27870,6368902
23502,3247137
21261,3708103
28248,6318532
20591,4470742
25869,4420962
19952,4960877
23795,4281308
24604,3675691
26477,3840910
26822,7839021
23681,4556493
21300,5362306
25576,4330515
28021,4550389
26158,10306645
23319,4291569
20441,3596365
24295,3987909
27341,5995007
21255,4490885
27245,13258283
27027,4798107
27002,10004448
18768,6312890
24925,4393759
25221,4107633
21794,3706459
23740,3515524
27375,7758936
24016,4475171
16701,1952844
24452,3769235
22031,3401443
23325,3496050
21050,3476640
21309,3242489
25123,3738433
26808,4624644
22646,4310493
25728,4306769
19576,4585001
21290,3375801
22299,3331696
13851,10401491
20302,4889469
24895,4513233
28055,4154260
25761,4125241
21584,3721635
23220,4483630
22675,3428830
24500,3736797
26764,3733252
24785,7976114
21812,3323567
26098,10216254
21276,3852834
23306,3439702
21870,2920809
26286,4501079
24945,4389225
24789,4799372
23492,4444977
20736,4825204
25065,4325460
26473,4178215
25965,4361325
21810,4129737
27355,6340065
27974,5136605
24172,3472477
28349,4435989
26685,2548345
21262,3509414
20442,3411791
21513,2822485
26702,10235562
26523,4617901
26985,4604153
22540,3433497
25718,3909702
26114,5082802
27804,7742724
4576,8976835
26470,4012721
21806,3553482
24863,4271345
20773,5247022
