order_id,final_price
20329,2900000
16747,700000
26392,9700000
24038,3500000
17153,5500000
22212,5300000
23760,3100000
19093,2500000
20539,3700000
15836,1500000
25064,5100000
26278,3000000
25575,590000
20488,2400000
21034,4000000
20265,3000000
27117,3500000
13704,4000000
23436,2100000
24424,3600000
23374,3100000
23286,2800000
23226,2600000
20447,3000000
20968,2400000
27436,3500000
27309,3100000
19426,2500000
24982,7200000
22098,4000000
29352,10000000
27896,2500000
21901,3500000
21212,3800000
20195,3000000
26361,3300000
28042,3000000
26774,3000000
23312,2500000
23788,3500000
23631,2800000
21981,3100000
24285,3500000
26748,3500000
25454,3500000
26288,5000000
24930,3500000
28249,3200000
20557,3500000
17367,2000000
28207,3100000
26973,3700000
25732,3000000
13654,1900000
22581,2300000
23396,2800000
21159,5100000
20696,3500000
25285,3500000
27811,3200000
27148,3000000
21582,2900000
24920,3500000
27996,4500000
27993,4500000
17069,500000
23135,3500000
24042,3500000
23344,4300000
28660,3500000
22837,3200000
23242,3800000
26276,3000000
21868,5000000
25184,5700000
14476,13000000
21125,7100000
22713,3500000
23159,3500000
25721,3000000
26040,3500000
20410,6000000
26792,3000000
4447,600000
24961,5000000
14965,1900000
20210,3000000
24975,6400000
22319,3400000
27471,3200000
21103,3400000
24286,3000000
22136,5100000
27609,4200000
28242,10600000
20503,2400000
27085,3000000
20236,3500000
27177,3300000
22715,3000000
27103,3500000
23858,8000000
23385,2700000
21521,4000000
27386,3000000
23333,4500000
14795,900000
2680,300000
27964,3400000
21225,3100000
27271,3200000
28567,2500000
27522,5500000
28608,5100000
25027,8500000
20730,5500000
22706,3000000
27311,3200000
26844,3500000
23911,3200000
28595,4200000
26390,11200000
23856,4000000
22925,2500000
556,650000
25347,3700000
17517,5200000
24574,3100000
27697,4300000
21889,3000000
26591,2500000
24869,3200000
3145,1800000
28488,2300000
22657,3100000
21098,2300000
18655,3500000
21190,4300000
24633,2800000
24492,8500000
26255,4000000
25552,4600000
21798,3400000
26031,3500000
26722,3100000
23633,5000000
23338,2600000
21509,2800000
21214,6100000
27326,19500000
26273,3500000
21242,3500000
26104,3200000
21980,2400000
22859,2500000
26084,2200000
19995,2800000
16849,500000
22996,5500000
24526,2500000
28482,2800000
27119,3500000
25553,11400000
21619,2500000
28239,2100000
3877,2500000
28659,3500000
20649,3500000
27090,4500000
26126,3800000
17589,1400000
25891,3400000
21560,11000000
28217,3200000
21765,3500000
21270,3600000
20272,3000000
19421,3500000
29561,7795905
21357,3500000
27157,11000000
28460,2200000
18778,18000000
21819,3500000
21576,4100000
22264,5900000
23694,4000000
21020,700000
20330,2500000
25273,11500000
27917,6600000
20262,3000000
29444,50000
28318,4000000
21325,4000000
23536,2500000
25038,3000000
27015,9300000
28226,3300000
27397,4600000
23493,3500000
24011,2500000
27985,3100000
20607,2500000
26275,3000000
25130,4400000
20574,2700000
26067,3400000
21873,3200000
21786,3300000
26750,3000000
21498,2100000
27385,3000000
18770,900000
20305,2300000
21885,3200000
12400,1500000
2992,400000
12284,450000
23824,2700000
23678,5000000
21134,5600000
21388,3500000
23044,2100000
25142,9900000
25440,3700000
27870,1200000
23502,3000000
21261,3600000
28248,6100000
20591,3400000
25869,3000000
19952,3000000
23795,2800000
24604,3500000
26477,3500000
26822,4000000
23681,3400000
21300,2100000
25576,3300000
28021,4500000
26158,45000000
23319,3000000
20441,3500000
24295,3500000
27341,18100000
21255,2600000
27245,6000000
27027,2800000
27002,18800000
18768,1600000
24925,2900000
25221,3000000
21794,3400000
23740,2100000
27375,1200000
24016,2900000
16701,10000000
24452,3200000
22031,3000000
23325,3000000
21050,3400000
21309,4000000
25123,3500000
26808,3000000
22646,2300000
25728,3500000
19576,5500000
21290,2200000
22299,2100000
13851,4000000
20302,3200000
24895,4900000
28055,2800000
25761,4500000
21584,2900000
23220,2700000
22675,3400000
24500,2300000
26764,3500000
24785,2000000
21812,3100000
26098,21700000
21276,3500000
23306,3700000
21870,7100000
26286,3800000
24945,3400000
24789,2900000
23492,2500000
20736,3500000
25065,3600000
26473,3000000
25965,2900000
21810,2200000
27355,1390000
27974,8100000
24172,2500000
28349,2900000
26685,10500000
21262,3100000
20442,3500000
21513,6700000
26702,17600000
26523,2100000
26985,3500000
22540,2200000
25718,2300000
26114,13200000
27804,400000
4576,32000000
26470,3500000
21806,3500000
24863,7300000
20773,2400000
